age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,computer_network_score,operating_system_score,daa_score,overall_score,final_grade
16,other,private,diploma,2.3,59.9,yes,15-30 min,no,online videos,54.4,42.4,28.0,49.2,e
16,other,public,diploma,4.4,68.2,yes,30-60 min,no,online videos,83.2,68.8,100.0,69.0,d
16,female,public,no formal,4.7,72.5,yes,15-30 min,no,mixed,64.8,50.3,60.1,60.3,d
18,female,private,diploma,3.1,72.0,yes,<15 min,yes,notes,47.6,78.2,71.2,58.1,d
14,female,public,high school,4.3,84.4,yes,30-60 min,no,textbook,57.5,61.8,71.5,70.7,c
14,female,public,post graduate,3.5,73.5,yes,>60 min,yes,textbook,46.4,64.0,60.3,56.5,d
15,male,private,high school,5.7,59.2,yes,<15 min,no,online videos,77.3,61.5,85.9,75.9,c
16,male,private,phd,4.6,63.1,yes,<15 min,no,online videos,69.4,57.6,76.9,59.3,d
18,other,private,no formal,7.1,70.6,yes,<15 min,no,textbook,85.8,89.6,76.3,76.3,c
16,other,private,diploma,0.9,76.0,yes,15-30 min,yes,mixed,48.7,29.6,44.1,28.0,f
16,male,private,high school,0.7,96.2,yes,<15 min,yes,notes,45.7,60.1,47.1,46.8,e
19,male,public,diploma,1.9,54.8,yes,30-60 min,no,mixed,31.0,34.5,42.5,36.4,f
14,female,public,post graduate,1.4,90.2,yes,30-60 min,no,notes,52.0,59.2,54.9,52.6,e
17,other,public,phd,4.4,65.5,yes,30-60 min,yes,textbook,51.0,71.4,71.4,69.3,d
17,other,public,post graduate,2.0,86.4,no,<15 min,yes,online videos,53.0,43.5,51.0,53.1,e
16,other,public,graduate,0.6,62.9,yes,15-30 min,yes,group study,27.4,42.7,27.9,31.0,f
18,male,public,graduate,2.6,69.3,yes,30-60 min,no,coaching,30.1,34.0,40.5,42.2,e
15,male,public,phd,4.3,72.2,no,30-60 min,yes,textbook,77.4,69.3,74.3,64.6,d
19,female,public,phd,5.9,87.5,no,>60 min,yes,group study,74.9,80.7,94.4,82.4,c
15,male,private,post graduate,3.8,58.3,yes,<15 min,no,mixed,50.9,59.1,36.1,55.9,d
17,female,public,no formal,7.7,67.3,yes,>60 min,no,online videos,72.7,88.8,84.2,88.3,b
17,female,private,high school,2.0,76.4,yes,15-30 min,no,coaching,49.5,68.7,30.6,48.0,e
19,other,public,high school,4.4,82.9,yes,15-30 min,yes,notes,92.9,80.7,75.3,73.4,c
16,male,public,high school,2.4,53.8,yes,>60 min,yes,notes,50.5,44.9,35.6,48.5,e
15,other,public,phd,6.6,54.7,yes,15-30 min,no,textbook,86.0,73.1,62.7,75.1,c
14,other,private,no formal,1.9,85.9,yes,>60 min,no,notes,50.1,56.8,53.5,56.7,d
16,other,private,phd,7.7,68.3,yes,30-60 min,yes,mixed,97.5,86.9,75.7,90.9,b
18,other,public,post graduate,5.9,58.3,yes,15-30 min,no,notes,60.0,54.9,73.2,67.6,d
14,other,public,graduate,4.7,63.2,yes,15-30 min,no,textbook,49.6,80.9,62.2,60.2,d
19,male,private,high school,4.5,79.9,no,>60 min,yes,textbook,77.5,82.6,65.9,73.2,c
17,female,public,high school,3.2,97.7,yes,>60 min,no,mixed,78.4,57.8,69.0,64.3,d
14,female,private,post graduate,0.7,86.6,yes,>60 min,yes,group study,37.1,48.0,41.5,45.8,e
15,other,private,post graduate,7.4,89.9,yes,>60 min,no,mixed,99.7,100.0,97.4,96.6,a
17,male,public,graduate,6.5,80.4,yes,15-30 min,no,group study,55.3,70.7,100.0,75.0,c
15,female,private,graduate,1.5,68.6,yes,>60 min,yes,mixed,28.2,21.1,36.6,39.1,f
14,male,private,post graduate,1.4,98.1,yes,>60 min,no,textbook,76.3,42.1,51.3,50.3,e
17,male,private,post graduate,2.8,54.1,no,>60 min,yes,group study,43.4,36.5,55.7,48.2,e
18,other,private,post graduate,6.2,90.4,no,15-30 min,no,textbook,85.3,91.1,100.0,91.6,b
14,male,public,high school,4.3,62.9,yes,30-60 min,yes,coaching,58.2,38.9,45.7,51.9,e
15,other,public,no formal,5.4,80.4,yes,>60 min,no,coaching,67.0,86.2,73.8,77.7,c
15,other,private,diploma,0.5,99.1,yes,15-30 min,yes,group study,53.7,49.6,53.2,47.6,e
17,other,public,diploma,7.4,92.1,yes,30-60 min,yes,online videos,100.0,100.0,95.4,100.0,a
18,male,public,diploma,1.7,92.5,yes,>60 min,yes,textbook,47.1,56.5,53.0,50.5,e
18,male,private,graduate,2.9,91.2,yes,<15 min,no,coaching,65.0,39.6,70.0,50.5,e
19,female,public,phd,7.6,72.7,yes,30-60 min,no,coaching,65.5,59.2,78.9,81.4,c
18,female,public,post graduate,6.0,69.7,yes,<15 min,yes,notes,70.7,82.9,69.9,74.5,c
15,other,private,post graduate,4.3,75.9,yes,>60 min,yes,notes,82.4,62.1,87.3,69.2,d
14,female,public,post graduate,7.0,64.3,yes,15-30 min,no,textbook,100.0,97.6,86.0,90.7,b
17,male,private,diploma,1.0,73.9,yes,30-60 min,yes,coaching,30.4,33.8,38.1,35.1,f
19,other,public,graduate,1.1,56.3,yes,<15 min,no,online videos,27.3,36.1,15.1,34.1,f
19,other,public,diploma,1.7,94.6,yes,<15 min,no,group study,58.1,65.2,62.3,55.8,d
15,female,private,post graduate,2.5,86.8,yes,>60 min,yes,mixed,26.4,38.4,48.7,46.2,e
15,other,public,phd,5.8,53.1,yes,>60 min,yes,group study,68.2,60.8,53.2,68.1,d
14,other,public,diploma,4.5,83.0,yes,15-30 min,yes,coaching,63.5,74.2,60.4,60.8,d
14,female,public,post graduate,3.7,87.9,yes,30-60 min,yes,notes,56.4,73.4,73.7,64.1,d
17,male,private,no formal,6.4,93.1,yes,<15 min,yes,coaching,95.9,100.0,90.5,96.0,a
17,female,public,diploma,2.9,66.5,yes,<15 min,no,online videos,55.8,42.3,50.6,55.8,d
16,female,public,phd,1.1,81.5,no,30-60 min,yes,mixed,30.2,43.0,56.8,45.1,e
15,other,public,post graduate,3.5,63.8,no,<15 min,no,textbook,60.9,51.2,61.0,61.6,d
18,other,public,graduate,6.2,92.4,yes,30-60 min,yes,group study,68.4,76.2,89.4,82.6,c
16,female,public,high school,4.1,93.8,no,30-60 min,yes,textbook,62.8,61.3,81.9,69.4,d
18,female,private,post graduate,7.8,53.8,no,<15 min,yes,coaching,74.4,69.1,71.1,79.6,c
19,female,public,phd,6.9,64.3,yes,30-60 min,yes,online videos,92.7,77.4,69.6,77.6,c
15,female,public,diploma,6.4,55.1,yes,<15 min,yes,mixed,85.0,67.5,80.0,76.4,c
15,female,public,post graduate,6.3,69.9,yes,15-30 min,no,mixed,97.2,77.2,73.8,81.9,c
19,female,private,graduate,4.9,50.3,no,30-60 min,no,mixed,45.7,43.3,51.7,51.8,e
17,female,public,diploma,7.3,89.1,yes,15-30 min,no,textbook,97.1,100.0,100.0,100.0,a
15,other,public,high school,4.9,71.6,yes,<15 min,yes,online videos,65.5,65.2,70.4,62.9,d
17,male,private,graduate,3.3,76.7,yes,30-60 min,yes,online videos,52.9,56.9,48.7,51.9,e
17,male,private,diploma,2.0,87.1,no,<15 min,yes,textbook,59.1,46.6,65.7,47.9,e
19,other,private,graduate,6.6,85.6,yes,>60 min,no,textbook,91.5,84.4,100.0,84.7,c
15,other,public,no formal,3.3,65.7,yes,>60 min,yes,group study,65.0,58.1,47.6,55.8,d
19,female,public,diploma,6.4,89.1,yes,>60 min,no,mixed,87.8,100.0,100.0,90.6,b
19,female,private,post graduate,7.9,82.0,yes,15-30 min,no,textbook,100.0,100.0,93.9,99.6,a
15,female,private,phd,3.5,60.9,yes,<15 min,yes,online videos,48.2,54.1,38.2,53.1,e
14,female,public,high school,3.1,51.5,yes,>60 min,no,online videos,64.0,30.7,41.0,40.1,e
17,male,private,graduate,1.8,87.8,yes,30-60 min,no,group study,41.3,51.2,49.3,44.4,e
14,female,private,high school,4.1,58.3,yes,15-30 min,yes,notes,66.5,60.4,59.6,65.1,d
15,male,private,post graduate,5.4,55.6,yes,<15 min,yes,notes,66.6,54.5,56.5,58.9,d
16,male,public,diploma,2.8,71.0,yes,>60 min,no,mixed,73.9,48.0,57.2,49.9,e
19,female,private,post graduate,4.1,96.1,no,15-30 min,yes,coaching,88.3,79.0,60.4,77.6,c
19,other,public,diploma,4.5,85.9,yes,15-30 min,no,mixed,62.3,80.5,69.6,70.8,c
14,male,public,high school,2.6,89.9,yes,>60 min,no,coaching,76.6,56.0,53.7,65.9,d
19,other,private,graduate,0.7,63.5,yes,30-60 min,yes,mixed,24.5,45.8,35.5,40.4,e
14,female,public,graduate,2.1,91.8,no,15-30 min,yes,mixed,55.1,57.3,76.4,60.3,d
18,other,public,post graduate,6.5,70.8,no,>60 min,yes,group study,70.7,100.0,81.5,78.5,c
19,female,public,post graduate,2.6,99.0,yes,15-30 min,no,textbook,63.3,66.1,91.2,67.5,d
19,other,public,post graduate,0.6,78.5,yes,15-30 min,no,notes,47.8,50.8,34.7,40.0,e
15,female,public,phd,3.7,80.3,yes,<15 min,no,notes,80.4,86.9,81.8,69.4,d
19,other,private,diploma,5.6,95.8,yes,<15 min,no,coaching,90.7,68.2,87.4,78.2,c
14,female,private,graduate,6.1,97.4,yes,<15 min,no,online videos,74.6,79.5,62.7,79.7,c
17,female,private,diploma,3.6,50.9,yes,15-30 min,no,group study,35.7,55.2,44.2,50.2,e
16,female,private,graduate,4.8,61.6,yes,>60 min,yes,online videos,67.2,53.4,76.5,62.3,d
15,other,private,no formal,6.1,80.7,yes,>60 min,yes,textbook,85.1,78.8,87.3,82.9,c
14,other,public,phd,7.2,50.2,yes,<15 min,yes,coaching,67.1,82.3,77.3,85.1,b
18,male,private,graduate,5.3,65.9,yes,30-60 min,yes,textbook,71.9,83.5,58.9,75.5,c
16,other,private,graduate,5.7,59.8,yes,15-30 min,no,online videos,50.7,77.3,42.1,61.0,d
17,other,public,phd,1.2,76.2,yes,>60 min,yes,textbook,11.7,31.3,41.9,33.1,f
16,other,public,diploma,3.7,79.9,no,15-30 min,no,notes,66.8,55.7,53.7,65.3,d
16,female,public,diploma,7.2,59.5,yes,15-30 min,yes,online videos,75.7,100.0,98.7,82.2,c
19,female,private,graduate,1.7,76.8,yes,30-60 min,no,group study,31.5,43.5,47.9,37.8,f
14,other,private,phd,2.8,69.8,yes,<15 min,no,notes,41.5,48.7,14.4,40.8,e
18,female,private,high school,5.6,99.5,yes,15-30 min,yes,coaching,61.0,63.7,85.1,80.5,c
18,female,public,no formal,7.3,53.3,yes,<15 min,yes,group study,63.6,58.7,67.7,74.8,c
16,female,private,no formal,0.9,92.0,no,15-30 min,yes,textbook,38.7,32.7,35.0,36.3,f
15,female,public,post graduate,7.0,100.0,yes,<15 min,no,mixed,100.0,100.0,100.0,100.0,a
14,male,public,no formal,2.2,77.1,yes,>60 min,no,notes,70.5,57.3,54.6,57.0,d
19,male,public,post graduate,7.0,84.0,yes,15-30 min,no,online videos,85.2,77.0,86.5,83.1,c
19,male,public,phd,7.2,56.4,yes,15-30 min,no,group study,89.5,72.6,71.4,83.7,c
15,female,public,post graduate,6.3,67.5,yes,15-30 min,no,group study,83.8,91.4,91.5,82.9,c
14,female,private,high school,7.4,59.1,yes,15-30 min,no,mixed,91.7,88.2,66.9,83.0,c
14,female,public,graduate,7.7,79.2,yes,<15 min,no,notes,81.9,87.0,90.2,93.4,b
14,other,private,diploma,7.4,97.1,yes,30-60 min,no,textbook,86.6,92.9,90.5,93.7,b
18,male,public,no formal,4.3,51.5,yes,<15 min,no,online videos,58.1,50.9,74.3,59.2,d
19,female,private,high school,4.0,74.7,yes,<15 min,no,notes,51.9,43.5,40.9,52.0,e
14,male,private,post graduate,1.3,86.2,yes,30-60 min,yes,group study,33.2,47.7,49.0,45.7,e
18,male,private,graduate,2.1,71.5,no,15-30 min,yes,notes,27.5,63.8,50.8,43.5,e
15,female,private,diploma,5.4,76.9,yes,30-60 min,no,textbook,71.6,83.8,88.4,80.8,c
16,male,private,post graduate,1.5,72.6,yes,<15 min,no,group study,40.5,53.8,45.1,47.9,e
17,male,private,graduate,7.6,79.9,yes,>60 min,no,coaching,97.5,91.6,100.0,94.3,b
18,other,public,phd,2.2,53.4,yes,30-60 min,no,group study,14.0,32.5,49.1,34.9,f
19,other,public,no formal,1.2,77.3,yes,15-30 min,no,notes,65.3,48.5,34.6,42.4,e
14,male,public,high school,2.3,75.6,yes,>60 min,no,coaching,41.5,52.7,46.8,50.4,e
15,male,public,high school,0.9,59.1,yes,30-60 min,yes,coaching,15.7,37.5,32.7,32.1,f
15,male,public,diploma,1.7,76.7,yes,>60 min,no,group study,30.1,32.0,35.4,43.8,e
15,female,private,phd,4.9,73.2,yes,30-60 min,yes,notes,60.0,60.3,77.5,61.5,d
19,other,public,diploma,2.7,79.7,yes,30-60 min,no,online videos,45.4,54.9,52.5,55.0,e
18,male,public,high school,6.5,78.2,yes,>60 min,yes,coaching,78.6,86.6,78.4,80.6,c
15,male,private,no formal,3.5,70.2,yes,>60 min,yes,notes,51.9,59.7,46.0,56.1,d
19,female,public,diploma,5.9,89.1,no,30-60 min,yes,notes,89.1,81.1,92.8,88.2,b
16,other,private,high school,5.8,67.9,yes,15-30 min,no,textbook,74.9,87.5,83.6,76.2,c
17,female,private,high school,1.5,73.7,yes,<15 min,yes,online videos,52.6,62.2,36.5,48.6,e
16,other,private,no formal,0.9,71.3,yes,<15 min,yes,mixed,48.3,26.2,38.3,31.9,f
14,female,private,graduate,6.8,74.3,no,15-30 min,no,notes,77.4,71.8,89.9,81.6,c
19,male,public,post graduate,5.8,90.0,yes,15-30 min,no,coaching,69.3,73.0,83.0,79.9,c
14,female,public,post graduate,1.8,85.5,yes,30-60 min,yes,textbook,50.1,34.4,31.9,41.0,e
15,other,private,no formal,5.6,52.1,yes,<15 min,yes,group study,62.1,58.2,55.2,58.3,d
15,female,private,phd,3.0,74.7,yes,>60 min,yes,coaching,60.0,71.7,45.2,61.2,d
15,male,public,graduate,0.9,56.2,yes,>60 min,yes,group study,40.0,37.3,24.3,38.3,f
14,male,private,graduate,2.2,86.5,yes,<15 min,yes,textbook,39.3,56.9,53.2,44.9,e
14,female,public,phd,6.2,99.3,yes,>60 min,no,online videos,94.2,97.4,95.1,80.8,c
18,female,private,high school,3.4,80.9,yes,30-60 min,no,mixed,64.4,65.3,51.6,55.1,d
19,female,private,graduate,4.6,69.0,yes,<15 min,no,notes,72.9,80.2,76.2,70.4,c
14,female,public,no formal,1.5,53.6,no,<15 min,yes,notes,34.3,46.6,31.7,37.6,f
15,female,private,diploma,1.2,66.6,yes,30-60 min,no,textbook,28.2,46.6,45.0,45.9,e
17,female,private,high school,2.3,76.3,yes,>60 min,no,online videos,66.5,47.9,62.9,58.8,d
19,male,public,high school,4.0,94.0,yes,30-60 min,yes,mixed,66.7,77.4,71.0,65.9,d
18,female,private,graduate,6.9,75.6,yes,>60 min,yes,online videos,90.1,89.0,76.0,80.4,c
18,female,public,no formal,6.2,99.2,yes,15-30 min,yes,online videos,67.3,67.6,89.8,81.6,c
17,other,public,phd,1.7,68.5,yes,>60 min,no,group study,39.7,39.4,29.3,41.3,e
16,other,private,high school,1.0,50.0,yes,>60 min,yes,textbook,32.0,34.4,49.2,34.5,f
15,female,private,no formal,2.2,81.4,yes,>60 min,yes,online videos,36.0,50.8,46.0,54.8,e
19,male,public,diploma,6.9,61.0,yes,<15 min,yes,notes,58.8,83.5,79.5,73.9,c
18,male,private,diploma,4.4,62.2,no,>60 min,no,textbook,60.8,66.3,42.9,58.1,d
14,male,public,graduate,6.6,50.9,yes,30-60 min,no,online videos,100.0,86.2,67.1,79.1,c
18,male,public,post graduate,3.3,76.6,yes,15-30 min,yes,group study,66.8,52.0,37.1,54.0,e
14,other,public,graduate,4.9,62.4,no,>60 min,no,online videos,42.2,53.0,47.2,60.4,d
18,male,public,graduate,5.0,99.7,yes,30-60 min,yes,group study,87.3,98.0,97.2,85.4,b
18,male,private,post graduate,5.2,91.8,yes,15-30 min,yes,notes,69.8,68.0,73.5,76.9,c
14,female,public,graduate,4.0,86.1,yes,<15 min,yes,notes,63.2,42.4,62.8,56.7,d
16,male,public,no formal,2.3,67.7,yes,>60 min,no,coaching,53.8,50.8,58.3,52.6,e
14,other,private,diploma,3.7,53.6,no,15-30 min,no,group study,52.9,57.7,65.6,59.2,d
17,other,private,post graduate,7.8,83.4,yes,30-60 min,no,online videos,100.0,100.0,100.0,100.0,a
19,other,public,high school,2.5,51.1,yes,<15 min,yes,textbook,41.1,48.8,38.2,40.5,e
14,female,private,phd,5.9,72.1,yes,15-30 min,no,textbook,84.2,91.1,77.6,81.7,c
16,female,private,diploma,7.6,52.6,yes,30-60 min,yes,textbook,86.6,93.4,71.9,86.6,b
19,female,private,high school,4.7,78.0,yes,15-30 min,no,group study,67.9,62.6,68.7,67.8,d
15,male,public,diploma,4.2,78.0,no,<15 min,no,group study,62.7,62.6,61.2,61.8,d
14,female,public,graduate,1.4,76.5,yes,15-30 min,no,online videos,64.0,50.6,40.5,50.8,e
16,other,private,post graduate,6.1,85.7,yes,>60 min,no,mixed,90.8,97.4,75.1,81.9,c
17,male,private,high school,7.3,61.4,no,>60 min,yes,online videos,87.5,66.0,67.6,75.7,c
17,male,private,high school,7.9,62.1,yes,>60 min,no,textbook,60.3,75.5,67.8,80.6,c
15,female,private,no formal,2.0,70.8,yes,15-30 min,yes,group study,46.2,60.9,57.2,41.9,e
19,female,private,diploma,7.4,85.1,yes,>60 min,yes,group study,81.0,100.0,97.5,91.5,b
17,other,public,phd,3.3,55.8,no,>60 min,no,textbook,43.2,41.8,56.8,41.3,e
15,other,private,phd,5.1,94.3,yes,<15 min,no,notes,89.3,75.7,86.4,77.5,c
19,other,public,graduate,2.2,62.6,yes,15-30 min,no,group study,26.2,46.3,48.2,37.0,f
19,female,public,graduate,2.4,56.4,yes,>60 min,no,group study,52.3,60.7,32.5,50.0,e
16,other,private,graduate,5.1,79.9,yes,<15 min,yes,notes,69.8,75.3,68.6,75.3,c
14,male,public,high school,4.1,63.8,yes,15-30 min,no,online videos,66.8,76.3,68.3,56.7,d
17,female,private,diploma,7.7,70.4,no,>60 min,no,group study,96.0,92.5,100.0,93.9,b
17,male,private,phd,2.5,53.1,yes,<15 min,yes,group study,46.3,51.4,58.3,49.5,e
14,other,private,graduate,7.1,73.2,yes,30-60 min,no,textbook,74.4,92.0,67.4,76.9,c
17,female,public,high school,4.0,65.2,no,>60 min,yes,group study,64.7,60.5,67.8,61.8,d
19,female,public,no formal,1.5,58.5,yes,15-30 min,yes,coaching,49.8,50.7,19.9,32.5,f
14,male,private,post graduate,2.3,69.3,no,<15 min,yes,mixed,51.1,56.3,47.1,48.5,e
18,other,public,phd,6.2,88.5,yes,<15 min,yes,online videos,91.9,80.9,92.0,86.9,b
14,female,private,no formal,6.7,88.2,yes,>60 min,no,mixed,90.3,95.5,70.5,80.6,c
18,other,private,diploma,0.8,68.0,yes,<15 min,no,group study,35.2,32.1,38.0,36.9,f
16,female,private,phd,3.6,98.7,yes,>60 min,no,textbook,52.0,50.5,59.0,61.9,d
14,male,public,high school,4.2,56.3,yes,30-60 min,yes,online videos,63.5,62.6,59.7,62.3,d
19,female,public,high school,5.1,92.7,yes,30-60 min,no,mixed,81.0,65.9,67.9,71.9,c
14,female,public,diploma,5.4,98.9,yes,30-60 min,no,group study,79.1,77.4,69.5,79.9,c
17,male,private,diploma,6.7,78.6,yes,15-30 min,no,group study,81.0,87.0,82.8,91.4,b
15,male,private,diploma,2.6,53.0,yes,>60 min,no,online videos,43.7,28.4,39.7,36.9,f
19,other,public,phd,1.3,96.1,yes,>60 min,no,coaching,68.8,34.7,38.1,51.0,e
18,female,public,phd,1.9,71.8,yes,30-60 min,yes,mixed,34.9,42.4,28.9,34.3,f
18,female,private,graduate,7.5,58.6,yes,30-60 min,no,mixed,67.0,81.2,77.8,75.0,c
16,female,private,no formal,4.6,94.6,yes,30-60 min,yes,notes,93.4,89.0,83.0,82.8,c
16,other,private,high school,2.1,71.3,yes,<15 min,yes,coaching,45.6,39.1,28.8,36.4,f
17,male,public,high school,6.4,75.0,yes,15-30 min,yes,group study,82.1,67.5,80.9,76.2,c
18,female,private,no formal,4.9,78.6,yes,15-30 min,yes,textbook,79.9,81.6,82.8,77.4,c
19,male,public,diploma,3.3,95.3,yes,<15 min,no,coaching,67.8,60.0,73.6,66.0,d
14,male,private,no formal,0.6,75.2,no,15-30 min,no,coaching,45.8,23.0,28.6,30.2,f
17,male,public,graduate,6.4,94.4,yes,30-60 min,no,group study,91.1,64.3,95.8,83.8,c
14,female,public,high school,5.9,58.5,yes,>60 min,no,notes,65.4,75.9,61.7,65.9,d
15,female,private,post graduate,2.5,80.8,yes,30-60 min,yes,mixed,52.9,41.1,35.5,48.8,e
18,female,private,graduate,2.5,76.3,no,>60 min,yes,online videos,45.3,53.0,35.4,46.8,e
15,other,private,phd,2.5,66.3,yes,30-60 min,yes,coaching,43.8,32.5,46.9,45.8,e
18,female,private,diploma,5.5,60.6,no,30-60 min,yes,coaching,63.9,58.9,54.9,66.2,d
16,female,public,no formal,2.7,53.5,yes,30-60 min,no,textbook,55.8,60.2,57.9,48.6,e
15,other,public,phd,2.8,63.1,no,<15 min,yes,online videos,52.4,63.1,63.5,54.4,e
16,female,public,high school,3.3,84.0,no,>60 min,yes,notes,60.2,73.2,75.4,60.6,d
17,other,private,post graduate,7.9,63.9,yes,30-60 min,yes,group study,81.6,74.8,84.4,79.3,c
18,male,public,post graduate,4.0,86.4,yes,30-60 min,yes,textbook,76.1,57.7,51.8,68.2,d
17,other,private,phd,3.3,93.8,yes,15-30 min,no,coaching,73.7,65.6,60.1,61.1,d
19,other,public,graduate,4.0,84.7,yes,>60 min,yes,online videos,53.8,44.3,58.7,60.0,d
19,female,private,graduate,5.9,90.3,yes,15-30 min,yes,textbook,88.9,77.4,87.9,83.4,c
18,male,public,diploma,7.1,78.7,yes,>60 min,no,online videos,100.0,90.7,97.2,98.2,a
17,female,private,diploma,7.9,97.3,no,>60 min,no,textbook,100.0,100.0,100.0,98.2,a
15,other,private,post graduate,4.1,88.1,yes,<15 min,no,mixed,43.1,53.7,57.5,60.2,d
16,female,public,graduate,4.0,66.1,no,>60 min,no,online videos,50.4,52.4,52.4,50.7,e
14,male,public,no formal,3.0,86.2,yes,>60 min,yes,mixed,56.9,41.9,56.8,54.9,e
16,male,private,diploma,6.3,83.6,yes,15-30 min,no,notes,98.3,95.9,86.1,85.3,b
19,female,private,phd,5.4,87.6,yes,30-60 min,yes,notes,83.1,78.1,71.0,70.8,c
16,other,public,high school,3.2,66.0,yes,>60 min,yes,mixed,63.6,52.9,53.6,57.1,d
14,female,public,diploma,4.4,75.5,yes,30-60 min,no,textbook,98.3,84.3,74.7,74.2,c
17,other,private,phd,2.0,94.0,yes,<15 min,yes,group study,69.0,77.6,57.5,63.4,d
19,other,private,high school,5.7,98.8,yes,30-60 min,yes,notes,81.4,81.7,79.5,86.1,b
19,male,public,post graduate,2.4,68.0,yes,<15 min,yes,textbook,48.0,49.6,30.4,38.4,f
15,male,private,post graduate,3.1,74.3,yes,15-30 min,no,online videos,59.9,61.1,60.3,61.2,d
16,other,private,high school,1.0,66.5,yes,30-60 min,yes,group study,46.3,28.5,35.6,42.0,e
17,female,private,phd,2.1,85.9,yes,30-60 min,no,mixed,37.8,50.7,30.7,46.9,e
15,other,public,diploma,2.0,51.9,no,30-60 min,yes,group study,33.3,33.3,52.9,38.5,f
15,other,private,high school,6.0,97.7,yes,<15 min,yes,mixed,68.6,70.4,78.8,83.3,c
15,female,public,high school,5.7,77.5,yes,30-60 min,no,online videos,80.6,82.6,74.1,80.3,c
19,male,public,high school,4.5,63.5,yes,<15 min,yes,group study,60.1,70.5,59.9,66.6,d
18,other,public,graduate,3.4,51.9,yes,<15 min,yes,coaching,67.7,64.6,37.9,44.8,e
19,female,public,high school,7.2,78.0,yes,15-30 min,yes,mixed,91.6,77.8,72.7,79.2,c
18,male,private,diploma,7.1,79.3,yes,15-30 min,yes,group study,82.0,74.1,80.8,86.5,b
19,female,public,post graduate,5.0,84.8,yes,<15 min,no,textbook,60.8,63.8,76.3,68.3,d
14,male,public,phd,5.4,76.3,yes,30-60 min,yes,notes,65.2,82.6,69.0,72.1,c
19,male,public,post graduate,6.5,75.8,yes,30-60 min,yes,textbook,84.0,100.0,100.0,92.0,b
14,female,public,graduate,5.9,65.2,yes,30-60 min,yes,online videos,54.6,72.8,74.2,63.9,d
16,female,private,post graduate,2.2,59.7,yes,15-30 min,no,mixed,37.5,42.5,17.7,38.1,f
17,female,public,diploma,4.3,62.6,yes,15-30 min,yes,textbook,52.9,55.1,64.4,59.4,d
16,other,public,high school,1.6,68.7,yes,15-30 min,no,group study,29.5,34.8,30.1,39.9,f
14,female,public,post graduate,6.6,88.7,no,30-60 min,yes,textbook,95.1,87.6,93.9,82.5,c
15,other,public,no formal,5.4,55.9,no,30-60 min,no,online videos,65.5,73.2,66.1,71.0,c
18,other,private,phd,7.8,82.2,yes,30-60 min,no,online videos,85.5,75.6,86.4,91.1,b
15,other,public,diploma,1.5,51.9,yes,15-30 min,yes,textbook,42.6,13.7,25.7,26.1,f
15,male,public,post graduate,4.3,52.2,yes,30-60 min,no,online videos,81.0,60.0,68.4,62.4,d
19,other,private,no formal,5.9,63.7,yes,15-30 min,yes,group study,87.8,79.3,65.5,78.7,c
14,male,public,diploma,7.0,67.9,yes,30-60 min,yes,notes,86.8,78.3,86.6,84.5,c
19,female,public,diploma,6.9,59.5,yes,30-60 min,yes,mixed,66.4,77.0,85.7,73.5,c
19,female,public,diploma,2.0,94.3,yes,15-30 min,no,group study,73.2,65.3,64.7,62.6,d
17,male,public,graduate,7.9,65.2,no,15-30 min,no,coaching,79.7,88.8,85.6,84.9,c
14,male,public,graduate,7.9,73.4,yes,15-30 min,no,group study,77.9,100.0,82.9,92.2,b
14,other,public,phd,7.8,99.7,yes,>60 min,yes,coaching,95.8,89.1,100.0,100.0,a
15,other,public,post graduate,5.1,62.7,yes,<15 min,no,notes,60.0,72.3,77.2,71.1,c
17,male,public,high school,6.7,80.9,yes,>60 min,no,group study,77.5,87.7,87.1,85.6,b
14,female,public,phd,1.1,87.3,yes,<15 min,no,mixed,56.8,49.8,44.7,42.8,e
16,male,private,diploma,2.4,63.6,yes,30-60 min,no,mixed,55.1,40.4,47.3,40.5,e
14,other,public,diploma,1.2,52.9,yes,30-60 min,no,group study,29.6,28.1,38.4,36.6,f
17,other,public,no formal,4.3,89.6,yes,30-60 min,yes,online videos,72.5,78.6,72.6,79.2,c
